date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2019-07-12,1563000976,98,304,2,1562915520,1562939760
2019-07-13,1563134397,101,238,0,1563001500,1563021840
2019-07-14,1563171164,89,342,2,1563088680,1563114660
2019-07-15,1563251051,52,401,2,1563171960,1563199260
2019-07-16,1563374417,88,332,0,1563247860,1563273060
2019-07-17,1563447637,101,287,0,1563334920,1563358200
2019-07-18,1563543670,89,344,2,1563419460,1563445560
2019-07-19,1563613406,169,400,15,1563504900,1563539940
2019-07-20,1563709926,41,382,0,1563587340,1563612720
2019-07-21,1563764886,55,516,9,1563674520,1563709320
2019-07-22,1563853207,47,281,3,1563766800,1563786660
2019-07-23,1563958387,125,329,2,1563851520,1563878880
2019-07-24,1564028291,69,414,2,1563936600,1563965700
2019-07-25,1564112710,136,244,0,1564022400,1564045200
2019-07-26,1564222000,159,380,11,1564107600,1564140600
2019-07-27,1564283046,78,216,0,1564203720,1564221360
2019-07-28,1564369448,74,337,0,1564288200,1564312860
2019-07-29,1564460304,69,339,0,1564369920,1564394400
2019-07-30,1564600166,58,447,0,1564451100,1564481400
2019-07-31,1564633269,88,370,2,1564540080,1564567680
2019-08-01,1564724182,147,244,0,1564629300,1564652760
2019-08-02,1564802850,116,324,0,1564711320,1564737720
2019-08-03,1564887988,208,354,3,1564802940,1564836840
2019-08-04,1565097351,144,360,2,1564891260,1564921620
2019-08-05,1565097351,0,0,0,1565060400,1565060400
2019-08-06,1565225845,84,276,0,1565060820,1565082420
2019-08-07,1565233265,118,417,2,1565141160,1565173380
2019-08-08,1565321229,67,441,0,1565228640,1565259120
2019-08-09,1565444369,68,304,0,1565315220,1565337540
2019-08-10,1565496276,48,407,2,1565410920,1565438340
2019-08-11,1565580482,52,449,0,1565497680,1565527740
2019-08-12,1565691817,46,218,0,1565580780,1565596620
2019-08-13,1565757615,145,340,2,1565661180,1565690400
2019-08-14,1565839326,48,310,0,1565747400,1565768880
2019-08-15,1565926204,48,415,0,1565839200,1565866980
2019-08-16,1566151292,87,405,18,1565911740,1565942340
2019-08-17,1566151292,26,433,2,1566016080,1566043740
2019-08-18,1566186018,53,480,2,1566100680,1566132780
2019-08-19,1566279608,18,313,2,1566181620,1566201600
2019-08-20,1566437892,58,338,0,1566264060,1566287820
2019-08-21,1566445332,75,276,0,1566352680,1566373740
2019-08-22,1566531066,67,378,0,1566440940,1566467640
2019-08-23,1566668949,69,229,2,1566529560,1566547560
2019-08-24,1566819752,48,349,21,1566618960,1566644040
2019-08-25,1566819752,97,346,64,1566707580,1566738000
2019-08-26,1566891250,50,369,2,1566793200,1566818460
2019-08-27,1566967339,209,206,2,1566871500,1566896520
2019-08-28,1567083085,104,194,0,1566960720,1566978600
2019-08-29,1567136768,129,232,0,1567044120,1567065780
2019-08-30,1567220683,120,336,0,1567133700,1567161060
2019-08-31,1567309173,86,394,0,1567222080,1567250880
2019-09-01,1567393527,66,360,2,1567314900,1567340580
2019-09-02,1567480868,12,263,0,1567394940,1567411440
2019-09-03,1567566125,21,432,2,1567481520,1567508820
2019-09-04,1567755270,110,270,2,1567561500,1567584420
2019-09-05,1567755270,40,292,0,1567650480,1567670400
2019-09-06,1567907054,109,355,2,1567735440,1567763400
2019-09-07,1567913227,144,309,2,1567826700,1567854000
2019-09-08,1567995680,108,360,2,1567915740,1567943940
2019-07-12,1563000976,98,304,2,1562915520,1562939760
2019-07-13,1563134397,101,238,0,1563001500,1563021840
2019-07-14,1563171164,89,342,2,1563088680,1563114660
2019-07-15,1563251051,52,401,2,1563171960,1563199260
2019-07-16,1563374417,88,332,0,1563247860,1563273060
2019-07-17,1563447637,101,287,0,1563334920,1563358200
2019-07-18,1563543670,89,344,2,1563419460,1563445560
2019-07-19,1563613406,169,400,15,1563504900,1563539940
2019-07-20,1563709926,41,382,0,1563587340,1563612720
2019-07-21,1563764886,55,516,9,1563674520,1563709320
2019-07-22,1563853207,47,281,3,1563766800,1563786660
2019-07-23,1563958387,125,329,2,1563851520,1563878880
2019-07-24,1564028291,69,414,2,1563936600,1563965700
2019-07-25,1564112710,136,244,0,1564022400,1564045200
2019-07-26,1564222000,159,380,11,1564107600,1564140600
2019-07-27,1564283046,78,216,0,1564203720,1564221360
2019-07-28,1564369448,74,337,0,1564288200,1564312860
2019-07-29,1564460304,69,339,0,1564369920,1564394400
2019-07-30,1564600166,58,447,0,1564451100,1564481400
2019-07-31,1564633269,88,370,2,1564540080,1564567680
2019-08-01,1564724182,147,244,0,1564629300,1564652760
2019-08-02,1564802850,116,324,0,1564711320,1564737720
2019-08-03,1564887988,208,354,3,1564802940,1564836840
2019-08-04,1565097351,144,360,2,1564891260,1564921620
2019-08-05,1565097351,0,0,0,1565060400,1565060400
2019-08-06,1565225845,84,276,0,1565060820,1565082420
2019-08-07,1565233265,118,417,2,1565141160,1565173380
2019-08-08,1565321229,67,441,0,1565228640,1565259120
2019-08-09,1565444369,68,304,0,1565315220,1565337540
2019-08-10,1565496276,48,407,2,1565410920,1565438340
2019-08-11,1565580482,52,449,0,1565497680,1565527740
2019-08-12,1565691817,46,218,0,1565580780,1565596620
2019-08-13,1565757615,145,340,2,1565661180,1565690400
2019-08-14,1565839326,48,310,0,1565747400,1565768880
2019-08-15,1565926204,48,415,0,1565839200,1565866980
2019-08-16,1566151292,87,405,18,1565911740,1565942340
2019-08-17,1566151292,26,433,2,1566016080,1566043740
2019-08-18,1566186018,53,480,2,1566100680,1566132780
2019-08-19,1566279608,18,313,2,1566181620,1566201600
2019-08-20,1566437892,58,338,0,1566264060,1566287820
2019-08-21,1566445332,75,276,0,1566352680,1566373740
2019-08-22,1566531066,67,378,0,1566440940,1566467640
2019-08-23,1566668949,69,229,2,1566529560,1566547560
2019-08-24,1566819752,48,349,21,1566618960,1566644040
2019-08-25,1566819752,97,346,64,1566707580,1566738000
2019-08-26,1566891250,50,369,2,1566793200,1566818460
2019-08-27,1566967339,209,206,2,1566871500,1566896520
2019-08-28,1567083085,104,194,0,1566960720,1566978600
2019-08-29,1567136768,129,232,0,1567044120,1567065780
2019-08-30,1567220683,120,336,0,1567133700,1567161060
2019-08-31,1567309173,86,394,0,1567222080,1567250880
2019-09-01,1567393527,66,360,2,1567314900,1567340580
2019-09-02,1567480868,12,263,0,1567394940,1567411440
2019-09-03,1567566125,21,432,2,1567481520,1567508820
2019-09-04,1567755270,110,270,2,1567561500,1567584420
2019-09-05,1567755270,40,292,0,1567650480,1567670400
2019-09-06,1567907054,109,355,2,1567735440,1567763400
2019-09-07,1567913227,144,309,2,1567826700,1567854000
2019-09-08,1567995680,108,360,2,1567915740,1567943940
